"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.014","0.014","0.001","0.008","0.019","0.03","19,028"
"2","$K$","41,818","40,142","25,201","33,343","48,342","68,103","19,028"
"3","$z$","4.24","3.443","1.076","1.901","6.053","10.512","19,028"
"4","$Pmsy$","0.648","0.648","0.507","0.571","0.724","0.793","19,028"
"5","$sigma$","0.019","0.019","0.009","0.015","0.023","0.025","19,028"
"6","$N_{min}$"," 1,755"," 1,520","   396","   933"," 2,500"," 3,866","19,028"
"7","$N_{2019}$"," 4,732"," 4,712"," 3,961"," 4,438"," 5,003"," 5,639","19,028"
"8","$N_{2021}$"," 4,892"," 4,862"," 4,017"," 4,552"," 5,196"," 5,934","19,028"
"9","$N_{2030}$"," 5,595"," 5,504"," 4,152"," 4,957"," 6,114"," 7,593","19,028"
"10","Max depletion","0.041","0.037","0.013","0.026","0.053","0.085","19,028"
"11","Depletion in 2019","0.122","0.118","0.064","0.095","0.145","0.202","19,028"
"12","Depletion in 2021","0.126","0.122","0.065","0.098","0.15","0.213","19,028"
"13","Depletion in 2030","0.146","0.138","0.067","0.107","0.176","0.27","19,028"
"14","$q_{flt1}$","0.376","0.375","0.33","0.359","0.391","0.425","19,028"
"15","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"16","$sigma_q$","0","0","0","0","0","0","     1"
"17","$p(q)_{flt1}$","0.395","0.369","0.188","0.289","0.479","0.729",NA
