"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.014","0.014","0.002","0.009","0.019","0.03","18,973"
"2","$K$","41,634","39,940","25,084","33,199","48,013","68,015","18,973"
"3","$z$","4.21","3.393","1.073","1.899","6.017","10.464","18,973"
"4","$Pmsy$","0.647","0.646","0.507","0.571","0.723","0.792","18,973"
"5","$sigma$","0.019","0.019","0.009","0.015","0.023","0.025","18,973"
"6","$N_{min}$"," 1,724"," 1,488","   399","   917"," 2,423"," 3,835","18,973"
"7","Max depletion","0.04","0.037","0.014","0.025","0.052","0.085","18,973"
"8","$q_{flt1}$","0.375","0.374","0.33","0.358","0.391","0.424","18,973"
"9","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"10","$sigma_q$","0","0","0","0","0","0","     1"
"11","$N_{2019}$"," 4,742"," 4,721"," 3,972"," 4,448"," 5,017"," 5,627","18,973"
"12","$N_{2021}$"," 4,905"," 4,877"," 4,042"," 4,565"," 5,214"," 5,928","18,973"
"13","$N_{2024}$"," 5,152"," 5,107"," 4,121"," 4,731"," 5,529"," 6,429","18,973"
"14","$N_{2030}$"," 5,622"," 5,535"," 4,183"," 4,991"," 6,148"," 7,556","18,973"
"15","Depletion in 2019","0.123","0.118","0.064","0.096","0.146","0.205","18,973"
"16","Depletion in 2021","0.127","0.123","0.065","0.099","0.151","0.216","18,973"
"17","Depletion in 2024","0.134","0.128","0.066","0.102","0.16","0.234","18,973"
"18","Depletion in 2030","0.147","0.139","0.068","0.108","0.177","0.272","18,973"
"19","$p(q)_{flt1}$","0.393","0.367","0.186","0.287","0.477","0.726",NA
