"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.014","0.014","0.002","0.009","0.019","0.029","18,920"
"2","$K$","61,371","59,141","39,189","50,361","69,874","95,912","18,920"
"3","$z$","4.254","3.462","1.073","1.939","6.065","10.481","18,920"
"4","$Pmsy$","0.649","0.649","0.507","0.574","0.724","0.792","18,920"
"5","$sigma$","0.019","0.019","0.009","0.015","0.023","0.025","18,920"
"6","$N_{min}$"," 1,812"," 1,621","   441"," 1,011"," 2,536"," 3,831","18,920"
"7","Max depletion","0.029","0.027","0.01","0.019","0.037","0.058","18,920"
"8","$q_{flt1}$","0.375","0.374","0.33","0.358","0.391","0.425","18,920"
"9","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"10","$sigma_q$","0","0","0","0","0","0","     1"
"11","$N_{2019}$"," 4,741"," 4,717"," 3,980"," 4,442"," 5,018"," 5,630","18,920"
"12","$N_{2021}$"," 4,905"," 4,876"," 4,050"," 4,563"," 5,219"," 5,916","18,920"
"13","$N_{2024}$"," 5,154"," 5,105"," 4,124"," 4,730"," 5,532"," 6,436","18,920"
"14","$N_{2030}$"," 5,628"," 5,533"," 4,187"," 5,003"," 6,164"," 7,582","18,920"
"15","Depletion in 2019","0.082","0.08","0.046","0.066","0.096","0.132","18,920"
"16","Depletion in 2021","0.085","0.082","0.046","0.068","0.1","0.138","18,920"
"17","Depletion in 2024","0.09","0.086","0.047","0.07","0.106","0.15","18,920"
"18","Depletion in 2030","0.099","0.094","0.048","0.074","0.118","0.175","18,920"
"19","$p(q)_{flt1}$","0.394","0.368","0.186","0.288","0.477","0.727",NA
