"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.021","0.02","0.002","0.011","0.029","0.051","18,793"
"2","$K$","63,971","55,652","29,864","44,039","71,795","148,528","18,793"
"3","$z$","4.222","3.42","1.074","1.939","5.988","10.452","18,793"
"4","$Pmsy$","0.648","0.648","0.507","0.573","0.723","0.792","18,793"
"5","$sigma$","0.061","0.065","0.02","0.051","0.073","0.08","18,793"
"6","$N_{min}$"," 1,133","   855","   150","   447"," 1,607","  3,320","18,793"
"7","Max depletion","0.018","0.014","0.004","0.009","0.024","0.053","18,793"
"8","$q_{flt1}$","0.385","0.383","0.32","0.361","0.407","0.461","18,793"
"9","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"10","$sigma_q$","0","0","0","0","0","0","     1"
"11","$N_{2019}$"," 4,505"," 4,474"," 3,438"," 4,095"," 4,877","  5,788","18,793"
"12","$N_{2021}$"," 4,867"," 4,819"," 3,668"," 4,389"," 5,280","  6,341","18,793"
"13","$N_{2024}$"," 5,430"," 5,339"," 3,903"," 4,791"," 5,964","  7,488","18,793"
"14","$N_{2030}$"," 6,261"," 5,992"," 3,779"," 5,128"," 7,123"," 10,222","18,793"
"15","Depletion in 2019","0.084","0.08","0.029","0.061","0.104","0.159","18,793"
"16","Depletion in 2021","0.091","0.086","0.031","0.065","0.112","0.175","18,793"
"17","Depletion in 2024","0.102","0.096","0.033","0.071","0.126","0.208","18,793"
"18","Depletion in 2030","0.12","0.107","0.033","0.076","0.148","0.281","18,793"
"19","$p(q)_{flt1}$","0.401","0.375","0.192","0.295","0.482","0.742",NA
