"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.013","0.013","0.001","0.008","0.018","0.029","18,890"
"2","$K$","62,128","59,811","39,382","51,093","70,715","97,364","18,890"
"3","$z$","4.26","3.485","1.075","1.953","6.092","10.466","18,890"
"4","$Pmsy$","0.65","0.65","0.507","0.574","0.725","0.792","18,890"
"5","$sigma$","0.019","0.019","0.009","0.015","0.023","0.025","18,890"
"6","$N_{min}$"," 1,898"," 1,713","   469"," 1,076"," 2,650"," 3,927","18,890"
"7","Max depletion","0.03","0.028","0.01","0.02","0.038","0.06","18,890"
"8","$q_{flt1}$","0.375","0.375","0.33","0.359","0.391","0.425","18,890"
"9","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"10","$sigma_q$","0","0","0","0","0","0","     1"
"11","$N_{2004}$"," 3,957"," 3,942"," 3,374"," 3,744"," 4,161"," 4,596","18,890"
"12","$N_{2021}$"," 4,873"," 4,844"," 4,029"," 4,532"," 5,180"," 5,888","18,890"
"13","$N_{2024}$"," 5,111"," 5,065"," 4,093"," 4,691"," 5,483"," 6,383","18,890"
"14","$N_{2030}$"," 5,560"," 5,469"," 4,151"," 4,949"," 6,087"," 7,472","18,890"
"15","Depletion in 2004","0.067","0.066","0.041","0.056","0.077","0.1","18,890"
"16","Depletion in 2021","0.084","0.081","0.045","0.066","0.098","0.137","18,890"
"17","Depletion in 2024","0.088","0.085","0.046","0.069","0.104","0.148","18,890"
"18","Depletion in 2030","0.096","0.092","0.047","0.073","0.115","0.172","18,890"
"19","$p(q)_{flt1}$","0.394","0.368","0.186","0.288","0.478","0.728",NA
