"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.013","0.013","0.002","0.008","0.017","0.027","19,953"
"2","$K$","61,553","60,080","40,781","51,573","69,853","90,755","19,953"
"3","$z$","4.258","3.47","1.079","1.966","6.068","10.487","19,952"
"4","$Pmsy$","0.649","0.65","0.508","0.575","0.725","0.792","19,952"
"5","$sigma$","0.01","0.01","0.008","0.009","0.011","0.011","19,953"
"6","$N_{min}$"," 1,967"," 1,779","   534"," 1,152"," 2,727"," 3,945","19,953"
"7","Max depletion","0.031","0.029","0.012","0.021","0.039","0.059","19,953"
"8","$q_{flt1}$","0.374","0.373","0.33","0.358","0.389","0.42","19,953"
"9","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"10","$sigma_q$","0","0","0","0","0","0","     1"
"11","$N_{2019}$"," 4,773"," 4,751"," 4,057"," 4,493"," 5,025"," 5,612","19,953"
"12","$N_{2021}$"," 4,910"," 4,879"," 4,107"," 4,590"," 5,197"," 5,868","19,953"
"13","$N_{2024}$"," 5,120"," 5,079"," 4,171"," 4,727"," 5,465"," 6,315","19,953"
"14","$N_{2030}$"," 5,554"," 5,472"," 4,255"," 4,984"," 6,036"," 7,315","19,953"
"15","Depletion in 2019","0.082","0.079","0.048","0.066","0.094","0.128","19,953"
"16","Depletion in 2021","0.084","0.081","0.048","0.068","0.098","0.134","19,953"
"17","Depletion in 2024","0.088","0.085","0.049","0.07","0.103","0.144","19,953"
"18","Depletion in 2030","0.096","0.091","0.05","0.074","0.113","0.165","19,953"
"19","$p(q)_{flt1}$","0.392","0.366","0.185","0.286","0.476","0.724",NA
