"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.013","0.013","0.002","0.008","0.017","0.027","19,975"
"2","$K$","61,924","60,302","40,953","51,662","70,409","92,118","19,975"
"3","$z$","4.28","3.484","1.08","1.953","6.107","10.533","19,975"
"4","$Pmsy$","0.65","0.65","0.508","0.574","0.725","0.793","19,975"
"5","$sigma$","0.01","0.01","0.008","0.009","0.011","0.011","19,975"
"6","$N_{min}$"," 1,999"," 1,818","   540"," 1,154"," 2,811"," 3,969","19,975"
"7","$N_{2019}$"," 4,769"," 4,744"," 4,065"," 4,488"," 5,024"," 5,608","19,975"
"8","$N_{2021}$"," 4,903"," 4,870"," 4,114"," 4,581"," 5,191"," 5,871","19,975"
"9","$N_{2030}$"," 5,541"," 5,456"," 4,256"," 4,957"," 6,030"," 7,326","19,975"
"10","Max depletion","0.031","0.03","0.012","0.021","0.04","0.059","19,975"
"11","Depletion in 2019","0.081","0.079","0.047","0.066","0.094","0.128","19,975"
"12","Depletion in 2021","0.084","0.081","0.048","0.067","0.097","0.134","19,975"
"13","Depletion in 2030","0.095","0.091","0.049","0.073","0.113","0.166","19,975"
"14","$q_{flt1}$","0.374","0.373","0.331","0.359","0.389","0.419","19,975"
"15","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"16","$sigma_q$","0","0","0","0","0","0","     1"
"17","$p(q)_{flt1}$","0.394","0.367","0.186","0.287","0.478","0.727",NA
