"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.027","0.026","0.02","0.023","0.029","0.038","19,181"
"2","$K$","48,839","47,734","34,168","41,986","54,650","69,235","19,182"
"3","$z$","4.143","3.317","1.054","1.789","5.953","10.426","19,182"
"4","$Pmsy$","0.644","0.643","0.505","0.564","0.722","0.792","19,182"
"5","$sigma$","0.02","0.021","0.009","0.017","0.023","0.025","19,182"
"6","$N_{min}$","   645","   628","   260","   479","   794"," 1,122","19,182"
"7","$N_{2019}$"," 5,102"," 5,088"," 4,299"," 4,803"," 5,381"," 5,998","19,182"
"8","$N_{2021}$"," 5,384"," 5,360"," 4,491"," 5,048"," 5,698"," 6,395","19,182"
"9","$N_{2030}$"," 6,839"," 6,764"," 5,356"," 6,241"," 7,347"," 8,756","19,182"
"10","Max depletion","0.013","0.013","0.007","0.011","0.015","0.021","19,182"
"11","Depletion in 2019","0.108","0.106","0.07","0.092","0.123","0.157","19,182"
"12","Depletion in 2021","0.114","0.112","0.073","0.096","0.13","0.168","19,182"
"13","Depletion in 2030","0.146","0.141","0.088","0.12","0.166","0.229","19,182"
"14","$q_{flt1}$","0.37","0.369","0.326","0.353","0.386","0.419","19,182"
"15","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"16","$sigma_q$","0","0","0","0","0","0","     1"
"17","$p(q)_{flt1}$","0.388","0.361","0.18","0.284","0.471","0.721",NA
