"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.026","0.026","0.02","0.023","0.029","0.037","19,127"
"2","$K$","48,870","47,840","34,215","42,017","54,655","68,820","19,127"
"3","$z$","4.128","3.31","1.055","1.805","5.885","10.442","19,127"
"4","$Pmsy$","0.644","0.643","0.505","0.565","0.72","0.792","19,127"
"5","$sigma$","0.02","0.021","0.01","0.017","0.023","0.025","19,127"
"6","$N_{min}$","   647","   631","   260","   483","   795"," 1,122","19,127"
"7","Max depletion","0.013","0.013","0.007","0.011","0.015","0.021","19,127"
"8","$q_{flt1}$","0.369","0.368","0.324","0.352","0.384","0.417","19,127"
"9","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"10","$sigma_q$","0","0","0","0","0","0","     1"
"11","$N_{2019}$"," 5,096"," 5,084"," 4,298"," 4,798"," 5,371"," 5,984","19,127"
"12","$N_{2021}$"," 5,374"," 5,352"," 4,492"," 5,042"," 5,681"," 6,383","19,127"
"13","$N_{2024}$"," 5,835"," 5,801"," 4,778"," 5,432"," 6,202"," 7,095","19,127"
"14","$N_{2030}$"," 6,820"," 6,748"," 5,350"," 6,237"," 7,321"," 8,728","19,127"
"15","Depletion in 2019","0.108","0.106","0.07","0.091","0.122","0.158","19,127"
"16","Depletion in 2021","0.114","0.112","0.073","0.096","0.129","0.168","19,127"
"17","Depletion in 2024","0.124","0.121","0.078","0.104","0.141","0.187","19,127"
"18","Depletion in 2030","0.145","0.141","0.088","0.119","0.166","0.228","19,127"
"19","$p(q)_{flt1}$","0.385","0.358","0.177","0.282","0.467","0.717",NA
