"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.032","0.031","0.021","0.028","0.035","0.043","13,827"
"2","$K$","45,776","44,569","31,774","39,154","51,334","65,781","13,827"
"3","$z$","4.027","3.149","1.044","1.674","5.798","10.525","13,826"
"4","$Pmsy$","0.639","0.636","0.504","0.556","0.719","0.793","13,827"
"5","$sigma$","0.02","0.021","0.01","0.018","0.024","0.025","13,827"
"6","$N_{min}$","   490","   464","   193","   350","   600","   951","13,827"
"7","Max depletion","0.011","0.01","0.005","0.008","0.013","0.018","13,827"
"8","$q_{flt1}$","0.367","0.366","0.322","0.35","0.383","0.417","13,827"
"9","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"10","$sigma_q$","0","0","0","0","0","0","     1"
"11","$N_{2019}$"," 5,230"," 5,211"," 4,406"," 4,918"," 5,530"," 6,157","13,827"
"12","$N_{2021}$"," 5,556"," 5,538"," 4,643"," 5,194"," 5,894"," 6,624","13,827"
"13","$N_{2024}$"," 6,112"," 6,089"," 4,962"," 5,652"," 6,530"," 7,460","13,827"
"14","$N_{2030}$"," 7,358"," 7,292"," 5,602"," 6,659"," 7,984"," 9,467","13,827"
"15","Depletion in 2019","0.119","0.117","0.075","0.1","0.135","0.175","13,827"
"16","Depletion in 2021","0.126","0.124","0.079","0.105","0.144","0.188","13,827"
"17","Depletion in 2024","0.139","0.136","0.085","0.115","0.159","0.21","13,827"
"18","Depletion in 2030","0.168","0.163","0.097","0.136","0.193","0.267","13,827"
"19","$p(q)_{flt1}$","0.383","0.356","0.173","0.279","0.464","0.72",NA
