"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.014","0.014","0.002","0.009","0.019","0.029","18,902"
"2","$K$","61,394","59,157","39,189","50,383","69,971","96,040","18,902"
"3","$z$","4.258","3.467","1.073","1.956","6.051","10.465","18,902"
"4","$Pmsy$","0.649","0.649","0.507","0.575","0.724","0.792","18,902"
"5","$sigma$","0.019","0.019","0.009","0.015","0.023","0.025","18,902"
"6","$N_{min}$"," 1,814"," 1,621","   452"," 1,011"," 2,538"," 3,825","18,902"
"7","Max depletion","0.029","0.027","0.01","0.019","0.037","0.058","18,902"
"8","$q_{flt1}$","0.375","0.374","0.33","0.358","0.391","0.424","18,902"
"9","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"10","$sigma_q$","0","0","0","0","0","0","     1"
"11","$N_{2019}$"," 4,742"," 4,718"," 3,985"," 4,445"," 5,014"," 5,626","18,902"
"12","$N_{2021}$"," 4,907"," 4,877"," 4,050"," 4,566"," 5,217"," 5,936","18,902"
"13","$N_{2024}$"," 5,155"," 5,107"," 4,118"," 4,735"," 5,529"," 6,438","18,902"
"14","$N_{2030}$"," 5,630"," 5,534"," 4,190"," 5,004"," 6,164"," 7,603","18,902"
"15","Depletion in 2019","0.082","0.08","0.045","0.066","0.096","0.131","18,902"
"16","Depletion in 2021","0.085","0.082","0.046","0.068","0.1","0.138","18,902"
"17","Depletion in 2024","0.09","0.086","0.047","0.07","0.106","0.15","18,902"
"18","Depletion in 2030","0.099","0.094","0.048","0.074","0.117","0.175","18,902"
"19","$p(q)_{flt1}$","0.393","0.367","0.186","0.288","0.477","0.726",NA
