"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.014","0.013","0.002","0.008","0.019","0.029","18,951"
"2","$K$","77,700","75,958","52,700","66,826","86,209","113,397","18,951"
"3","$z$","4.252","3.464","1.078","1.96","6.081","10.43","18,951"
"4","$Pmsy$","0.649","0.649","0.507","0.575","0.725","0.792","18,951"
"5","$sigma$","0.019","0.019","0.009","0.015","0.023","0.025","18,951"
"6","$N_{min}$"," 2,054"," 1,941","   688"," 1,299"," 2,737","  3,843","18,951"
"7","$N_{2019}$"," 4,735"," 4,714"," 3,947"," 4,437"," 5,013","  5,630","18,951"
"8","$N_{2021}$"," 4,894"," 4,868"," 4,012"," 4,552"," 5,207","  5,926","18,951"
"9","$N_{2030}$"," 5,600"," 5,517"," 4,127"," 4,968"," 6,137","  7,557","18,951"
"10","Max depletion","0.026","0.025","0.012","0.019","0.032","0.043","18,951"
"11","Depletion in 2019","0.064","0.062","0.038","0.053","0.073","0.099","18,951"
"12","Depletion in 2021","0.066","0.064","0.039","0.054","0.076","0.105","18,951"
"13","Depletion in 2030","0.076","0.072","0.039","0.059","0.09","0.135","18,951"
"14","$q_{flt1}$","0.375","0.375","0.331","0.359","0.391","0.426","18,951"
"15","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"16","$sigma_q$","0","0","0","0","0","0","     1"
"17","$p(q)_{flt1}$","0.395","0.369","0.187","0.289","0.479","0.729",NA
