"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.014","0.014","0.002","0.009","0.019","0.029","18,891"
"2","$K$","77,216","75,285","52,553","66,527","85,606","113,319","18,891"
"3","$z$","4.261","3.458","1.079","1.936","6.146","10.443","18,891"
"4","$Pmsy$","0.649","0.649","0.507","0.573","0.726","0.792","18,891"
"5","$sigma$","0.019","0.019","0.009","0.015","0.023","0.025","18,891"
"6","$N_{min}$"," 2,021"," 1,894","   696"," 1,280"," 2,683","  3,845","18,891"
"7","Max depletion","0.025","0.025","0.012","0.019","0.032","0.043","18,891"
"8","$q_{flt1}$","0.375","0.374","0.33","0.358","0.391","0.426","18,891"
"9","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"10","$sigma_q$","0","0","0","0","0","0","     1"
"11","$N_{2019}$"," 4,739"," 4,720"," 3,974"," 4,445"," 5,016","  5,623","18,891"
"12","$N_{2021}$"," 4,904"," 4,879"," 4,044"," 4,563"," 5,212","  5,920","18,891"
"13","$N_{2024}$"," 5,151"," 5,109"," 4,121"," 4,729"," 5,525","  6,433","18,891"
"14","$N_{2030}$"," 5,626"," 5,535"," 4,173"," 5,002"," 6,147","  7,575","18,891"
"15","Depletion in 2019","0.064","0.063","0.038","0.053","0.074","0.1","18,891"
"16","Depletion in 2021","0.067","0.065","0.039","0.054","0.077","0.106","18,891"
"17","Depletion in 2024","0.07","0.068","0.039","0.056","0.081","0.115","18,891"
"18","Depletion in 2030","0.077","0.073","0.04","0.06","0.091","0.135","18,891"
"19","$p(q)_{flt1}$","0.393","0.367","0.186","0.288","0.477","0.726",NA
