"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.033","0.03","0.003","0.018","0.044","0.084","18,936"
"2","$K$","53,055","50,501","31,861","42,490","60,710","89,133","18,936"
"3","$z$","3.544","2.685","0.431","1.34","5.178","10.021","18,936"
"4","$Pmsy$","0.638","0.633","0.505","0.56","0.712","0.792","18,936"
"5","$P_{50}$","0.119","0.126","0.011","0.077","0.166","0.197","18,936"
"6","$sigma$","0.019","0.019","0.009","0.015","0.023","0.025","18,936"
"7","$N_{min}$"," 2,376"," 2,291"," 1,102"," 1,791"," 2,919"," 3,935","18,936"
"8","Max depletion","0.045","0.045","0.025","0.038","0.052","0.068","18,936"
"9","$q_{flt1}$","0.375","0.374","0.33","0.358","0.391","0.425","18,936"
"10","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"11","$sigma_q$","0","0","0","0","0","0","     1"
"12","$N_{2019}$"," 4,721"," 4,701"," 3,946"," 4,422"," 4,992"," 5,623","18,936"
"13","$N_{2021}$"," 4,886"," 4,853"," 4,009"," 4,537"," 5,200"," 5,946","18,936"
"14","$N_{2024}$"," 5,141"," 5,084"," 4,074"," 4,694"," 5,533"," 6,524","18,936"
"15","$N_{2030}$"," 5,661"," 5,535"," 4,121"," 4,940"," 6,246"," 7,948","18,936"
"16","Depletion in 2019","0.096","0.093","0.049","0.075","0.114","0.161","18,936"
"17","Depletion in 2021","0.1","0.096","0.049","0.077","0.119","0.171","18,936"
"18","Depletion in 2024","0.105","0.101","0.05","0.08","0.126","0.187","18,936"
"19","Depletion in 2030","0.117","0.109","0.05","0.084","0.142","0.229","18,936"
"20","$p(q)_{flt1}$","0.393","0.368","0.186","0.287","0.477","0.726",NA
