"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.014","0.014","0.002","0.009","0.019","0.029","18,870"
"2","$K$","46,307","45,145","34,786","41,147","50,095","64,353","18,870"
"3","$z$","4.242","3.449","1.079","1.933","6.059","10.466","18,870"
"4","$Pmsy$","0.649","0.649","0.508","0.573","0.724","0.792","18,870"
"5","$sigma$","0.019","0.019","0.009","0.015","0.023","0.025","18,870"
"6","$N_{min}$"," 1,509"," 1,206","   261","   677"," 2,174"," 3,794","18,870"
"7","Max depletion","0.031","0.026","0.007","0.016","0.044","0.071","18,870"
"8","$q_{flt1}$","0.375","0.374","0.329","0.358","0.391","0.426","18,870"
"9","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"10","$sigma_q$","0","0","0","0","0","0","     1"
"11","$N_{2019}$"," 4,739"," 4,721"," 3,967"," 4,446"," 5,013"," 5,626","18,870"
"12","$N_{2021}$"," 4,902"," 4,876"," 4,036"," 4,563"," 5,214"," 5,930","18,870"
"13","$N_{2024}$"," 5,149"," 5,107"," 4,111"," 4,726"," 5,521"," 6,430","18,870"
"14","$N_{2030}$"," 5,621"," 5,535"," 4,177"," 5,001"," 6,146"," 7,548","18,870"
"15","Depletion in 2019","0.105","0.104","0.067","0.091","0.119","0.151","18,870"
"16","Depletion in 2021","0.109","0.108","0.068","0.093","0.124","0.16","18,870"
"17","Depletion in 2024","0.115","0.113","0.069","0.096","0.131","0.175","18,870"
"18","Depletion in 2030","0.126","0.122","0.07","0.102","0.146","0.205","18,870"
"19","$p(q)_{flt1}$","0.393","0.367","0.186","0.288","0.477","0.727",NA
