"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.014","0.013","0.001","0.008","0.019","0.029","18,923"
"2","$K$","46,528","45,289","34,701","41,246","50,406","65,578","18,923"
"3","$z$","4.254","3.438","1.073","1.929","6.102","10.446","18,923"
"4","$Pmsy$","0.649","0.648","0.507","0.573","0.725","0.792","18,923"
"5","$sigma$","0.019","0.019","0.009","0.015","0.023","0.025","18,923"
"6","$N_{min}$"," 1,556"," 1,253","   257","   686"," 2,295"," 3,838","18,923"
"7","$N_{2019}$"," 4,733"," 4,713"," 3,958"," 4,438"," 5,010"," 5,617","18,923"
"8","$N_{2021}$"," 4,893"," 4,866"," 4,020"," 4,552"," 5,203"," 5,922","18,923"
"9","$N_{2030}$"," 5,597"," 5,511"," 4,138"," 4,967"," 6,136"," 7,540","18,923"
"10","Max depletion","0.032","0.027","0.007","0.016","0.045","0.071","18,923"
"11","Depletion in 2019","0.105","0.104","0.066","0.09","0.118","0.151","18,923"
"12","Depletion in 2021","0.109","0.107","0.067","0.092","0.123","0.16","18,923"
"13","Depletion in 2030","0.125","0.121","0.069","0.1","0.146","0.205","18,923"
"14","$q_{flt1}$","0.376","0.375","0.33","0.359","0.391","0.425","18,923"
"15","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"16","$sigma_q$","0","0","0","0","0","0","     1"
"17","$p(q)_{flt1}$","0.395","0.369","0.188","0.288","0.479","0.73",NA
